# Annual region-averaged outputs (area*landfrac weighted)
# Case: 20260419_coastal_LA_ICB20TRCNPRDCTCBC_TAM
# Years: 1850 - 2014
#
# Variables:
#   GPP: gross primary production (annual sum, gC/m2/yr)
#   NPP: net primary production (annual sum, gC/m2/yr)
#   ER: total ecosystem respiration, autotrophic + heterotrophic (annual sum, gC/m2/yr)
#   NEE: net ecosystem exchange of carbon, includes fire, landuse, harvest, and hrv_xsmrpool flux, positive for source (annual sum, gC/m2/yr)
#   NBP: net biome production, includes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   NEP: net ecosystem production, excludes fire, landuse, and harvest flux, positive for sink (annual sum, gC/m2/yr)
#   HR: total heterotrophic respiration (annual sum, gC/m2/yr)
#   FSH: sensible heat (annual mean, W/m^2)
#   EFLX_LH_TOT: total latent heat flux [+ to atm] (annual mean, W/m^2)
#   FPSN: photosynthesis (annual mean, umol/m2s)
#   TOTSOMC: total soil organic matter carbon (annual mean, gC/m^2)
#   TOTVEGC: total vegetation carbon, excluding cpool (annual mean, gC/m^2)
#   TOTECOSYSC: total ecosystem carbon, incl veg but excl cpool but excl product pools (annual mean, gC/m^2)
#
Year	GPP	NPP	ER	NEE	NBP	NEP	HR	FSH	EFLX_LH_TOT	FPSN	TOTSOMC	TOTVEGC	TOTECOSYSC
1963	237.920897	8869.576676	-2449.929982	-2682.151729	2909.776589	2915.819951	6181.725786	32.853916	69.043236	54270.091868	76681.769714	299951.413016	444337.345372
1964	242.683225	6446.200556	658.106518	2929.174055	-2987.511027	-447.795612	6861.623851	29.468996	73.342547	55356.385707	76677.677979	299093.214197	444233.868124
1965	238.827634	7199.426013	-541.673923	-140.669689	187.136373	861.254304	6418.924457	30.164066	71.706997	54476.919871	76659.907007	297116.427754	442909.514849
1966	236.832464	7033.333329	190.484378	-45.423380	55.869319	57.082720	6986.985235	31.425199	70.372101	54021.818778	76653.545484	296597.861801	442831.738545
1967	239.879596	6863.008656	30.235652	789.643571	-826.242591	247.511091	6653.364706	30.658749	74.643760	54716.873999	76638.477398	295774.332782	442419.211544
1968	235.105917	7508.107330	-994.125828	603.027985	-502.550364	1348.594134	6278.875586	31.746796	73.074853	53627.991082	76619.223766	294435.827287	441763.697713
1969	232.032094	7181.402878	-435.315530	6477.131432	-6711.792060	738.062280	6514.055254	30.043843	72.283085	52926.847514	76597.109723	289911.914303	437862.084081
1970	228.191583	6244.784719	565.528092	1548.795939	-1592.023769	-352.141266	6582.121225	31.443415	72.047438	52050.821792	76563.483426	285427.107167	433961.944059
1971	228.400540	6134.310577	633.811084	2782.114026	-2966.571768	-429.208138	6539.721121	31.125804	71.501010	52098.485192	76518.640693	282864.958111	431739.206099
1972	228.394256	7125.404094	-293.607634	-521.580147	579.954424	580.600897	6603.402202	30.772022	75.664770	52097.051719	76459.494901	281353.105020	430290.958322
1973	226.905691	5484.156927	1506.790950	2235.867074	-2343.360989	-1387.202357	6764.042181	30.039848	71.294422	51757.507928	76406.354025	280611.215825	429752.718350
1974	227.427894	4536.505483	2699.664632	3100.490253	-3343.722570	-2681.524644	7008.742228	29.538563	67.687380	51876.623078	76355.148937	277928.747024	426773.497875
1975	228.615669	5445.174522	1965.753887	1740.490935	-1889.163842	-1885.510749	7182.312744	31.238658	68.243937	52147.556245	76317.164933	275786.036301	424286.428070
1976	226.795910	7328.538104	-932.922140	626.119249	-528.257183	1275.805482	6168.820050	32.465859	69.143070	51732.466733	76282.240595	274498.891364	422992.211395
1977	223.236584	5494.915582	1556.524018	1952.848742	-2067.512923	-1441.573383	6828.203013	29.678966	70.466120	50920.579376	76259.808577	273175.519826	421985.882309
1978	221.412302	6382.666372	561.097047	342.864396	-378.741401	-375.348464	6722.351113	33.867577	66.600125	50504.458207	76238.436009	272229.996120	420842.727479
1979	221.259913	5887.962670	1088.526775	1492.062091	-1561.819821	-930.445851	6755.229534	33.348769	68.306008	50469.697937	76213.948840	271426.401996	419833.118080
1980	222.245527	6480.521273	496.328242	277.257308	-301.592444	-298.208387	6754.603982	31.677606	68.177606	50694.518043	76188.433021	270504.611682	418711.522131
1981	227.782433	6889.009712	-447.348761	-673.707193	737.151249	738.763302	6213.878520	30.002638	71.842611	51957.494061	76162.373818	270806.571857	419231.747859
1982	227.890735	5756.944433	1355.644464	1129.146330	-1225.852513	-1224.275563	6884.698161	30.272874	72.227735	51982.197824	76145.508710	270515.907556	418996.989540
1983	230.647172	6887.419812	105.893479	-123.392809	135.591060	137.134612	6762.666115	32.301062	70.733858	52610.944994	76132.454140	270147.204383	418362.161764
1984	234.220817	5478.251222	1299.936710	1067.055857	-1149.678111	-1148.156431	6543.967111	28.915876	70.183505	53426.098489	76123.900321	269927.532320	418210.134964
